date,TweetId,Tweet,created_at,location
2020-12-15  21:46,1308152781585494016,@WhatAreYouHaiku 👀😷 https://t.co/2Z7yHuMbUq,2020-09-21 21:15:02,everywhere
2020-12-15  21:46,1308132903830925313,"The only thing we want going viral is this Tweet

#WearAMask",2020-09-21 19:56:02,everywhere
2020-12-15  21:46,1308123224325021696,@maresknj 👀😷 https://t.co/dlLEUZ9Ohu,2020-09-21 19:17:35,everywhere
2020-12-15  21:46,1308122424601264129,@Krmrtweets 👀😷 https://t.co/l3VdKZ0tHl,2020-09-21 19:14:24,everywhere
2020-12-15  21:46,1308112098312859649,@imkikosuarez 👀😷 https://t.co/AoehyFCR87,2020-09-21 18:33:22,everywhere
2020-12-15  21:46,1308110439302139904,@SchulteSophie 👀😷 https://t.co/H6l5JTZXSG,2020-09-21 18:26:46,everywhere
2020-12-15  21:46,1308110006487625728,@umm_ahaha as real as 2020,2020-09-21 18:25:03,everywhere
2020-12-15  21:46,1308109512910331904,@vincentegunlae 👀😷 https://t.co/5tat75IP6A,2020-09-21 18:23:06,everywhere
2020-12-15  21:46,1308108765045030912,@MJWFilms 👀😷 https://t.co/gFPWVV31O5,2020-09-21 18:20:07,everywhere
2020-12-15  21:46,1308104673749094400,"📍 Chicago
😷 @idkdenice https://t.co/h947Nl1hNr",2020-09-21 18:03:52,everywhere
2020-12-15  21:46,1308104668124508161,"📍 New York City
😷 @TaraSlone https://t.co/sHJBNlsSHb",2020-09-21 18:03:50,everywhere
2020-12-15  21:46,1308104662189572097,"📍 Seattle
😷 @lightstairs_ https://t.co/6YLI0erzl2",2020-09-21 18:03:49,everywhere
2020-12-15  21:46,1308104655201853440,"📍Miami
😷 @CaitlinDineen https://t.co/mzMoNVg87D",2020-09-21 18:03:47,everywhere
2020-12-15  21:46,1308104649262747649,"📍 Los Angeles
😷 @24tog https://t.co/b9x2UsoH7l",2020-09-21 18:03:46,everywhere
2020-12-15  21:46,1308104642384015372,"📍 New Jersey
😷 @umm_ahaha https://t.co/TzQF0FUHC6",2020-09-21 18:03:44,everywhere
2020-12-15  21:46,1308097376322633729,@umm_ahaha 👀😷 https://t.co/PSfaGNXQkI,2020-09-21 17:34:52,everywhere
2020-12-15  21:46,1308093707493675008,@chapstick247 👀😷 https://t.co/RjZdsJlDZh,2020-09-21 17:20:17,everywhere
2020-12-15  21:46,1308093031082418178,@MadHerries 👀😷 https://t.co/fgWwa5yw5X,2020-09-21 17:17:36,everywhere
2020-12-15  21:46,1308092726710280192,@elvenarcher0106 👀😷 https://t.co/Mi9OqUTqyc,2020-09-21 17:16:23,everywhere
2020-12-15  21:46,1308092224442306561,@dezidoesit 👀😷 https://t.co/WRlOtKJWmL,2020-09-21 17:14:24,everywhere
2020-12-15  21:46,1308092133530832899,@katsully90 👀😷 https://t.co/vbNcdfzVdh,2020-09-21 17:14:02,everywhere
2020-12-15  21:46,1308089294708334594,@blakekimball 👀😷 https://t.co/jiO0Ejis7H,2020-09-21 17:02:45,everywhere
2020-12-15  21:46,1308089252002004992,@jillboard 👀😷 https://t.co/jDODbQ9Hll,2020-09-21 17:02:35,everywhere
2020-12-15  21:46,1308088807082913792,@dhstark_ 👀😷 https://t.co/IgGU8Tb2mx,2020-09-21 17:00:49,everywhere
2020-12-15  21:46,1308088615264636929,@morgs_wrld 👀😷 https://t.co/YRLQZmbCul,2020-09-21 17:00:03,everywhere
2020-12-15  21:46,1308088265447178242,@theresballz 👀😷 https://t.co/9rIBMcA2TJ,2020-09-21 16:58:40,everywhere
2020-12-15  21:46,1308087656589348864,@markseyelashes 👀😷 https://t.co/6GS7OfoLC5,2020-09-21 16:56:15,everywhere
2020-12-15  21:46,1308087364355526658,@Deccatori 👀😷 https://t.co/tWMzboWCJh,2020-09-21 16:55:05,everywhere
2020-12-15  21:46,1308086910129070080,@TheProfessorDi 👀😷 https://t.co/fCy4IxwDiL,2020-09-21 16:53:17,everywhere
2020-12-15  21:46,1308086120954114049,@TaraSlone 👀😷 https://t.co/MLJelZRUXI,2020-09-21 16:50:08,everywhere
2020-12-15  21:46,1308085043068203014,@ColonelFalafel 👀😷 https://t.co/w9bwMRUXiY,2020-09-21 16:45:51,everywhere
2020-12-15  21:46,1308062396922163201,@lightstairs_ 👀😷 https://t.co/kUXxSWd7oA,2020-09-21 15:15:52,everywhere
2020-12-15  21:46,1308053203150401536,@endocrimes Hudson Yards in NYC!,2020-09-21 14:39:20,everywhere
2020-12-15  21:46,1308049923292704772,@pashh14 👀😷 https://t.co/H01c9qIy7Z,2020-09-21 14:26:18,everywhere
2020-12-15  21:46,1308045556057595910,@endocrimes 👀😷 https://t.co/gWVh8lAloH,2020-09-21 14:08:57,everywhere
2020-12-15  21:46,1308033315157561344,@CaitlinDineen 😘😷,2020-09-21 13:20:19,everywhere
2020-12-15  21:46,1308026686097760256,@24tog 👀😷 https://t.co/LDVsGogkO8,2020-09-21 12:53:58,everywhere
2020-12-15  21:46,1308024910313385985,@CaitlinDineen 👀😷 https://t.co/NPXsZvkam5,2020-09-21 12:46:55,everywhere
2020-12-15  21:46,1308020793062940679,@TeamBryGuy 👀😷 https://t.co/263lPf7MoI,2020-09-21 12:30:33,everywhere
2020-12-15  21:46,1308020108875489286,@BrettCohenShow 👀😷 https://t.co/3IcSzHoIHM,2020-09-21 12:27:50,everywhere
2020-12-15  21:46,1308019436268421130,@idkdenice 👀😷 https://t.co/9ZILUNWHtj,2020-09-21 12:25:10,everywhere
2020-12-15  21:46,1308018598783463424,@txnya_m 👀😷 https://t.co/1DUb4kDCJy,2020-09-21 12:21:50,everywhere
2020-12-15  21:46,1307019576195133440,@charlidamelio same,2020-09-18 18:12:04,everywhere
2020-12-15  21:46,1305984601287020544,@neon_nuisance you deserve the happiness,2020-09-15 21:39:27,everywhere
2020-12-15  21:46,1305630960403337216,Paul Rudd must want an edit button,2020-09-14 22:14:13,everywhere
2020-12-15  21:46,1305530577077104640,@blndls this is the one,2020-09-14 15:35:19,everywhere
2020-12-15  21:46,1305529861835030531,@theniptunes the best profiles look like this https://t.co/zFsuBIrmil,2020-09-14 15:32:29,everywhere
2020-12-15  21:46,1305529732033847298,@seungminavocado are you streaming back door from your stream back door,2020-09-14 15:31:58,everywhere
2020-12-15  21:46,1305529420803866624,@monipersona Twitter For Brain notifications were turned on,2020-09-14 15:30:44,everywhere
2020-12-15  21:46,1305529266013196288,@AshNicholsArt either works for us,2020-09-14 15:30:07,everywhere
2020-12-15  21:46,1304210453753667586,@beerfiend69 model behavior,2020-09-11 00:09:37,everywhere
2020-12-15  21:46,1304192092063838208,@Reapsii we support this,2020-09-10 22:56:40,everywhere
2020-12-15  21:46,1304190282137829381,@sydlarge18 accepting your acceptance,2020-09-10 22:49:28,everywhere
2020-12-15  21:46,1303872681394221056,@CriminalCosta see you soon!,2020-09-10 01:47:26,everywhere
2020-12-15  21:46,1303480831801950209,@gnuman1979 looks fun though,2020-09-08 23:50:22,everywhere
2020-12-15  21:46,1303480345401217031,"@thetzechun this room says, let's pop off",2020-09-08 23:48:26,everywhere
2020-12-15  21:46,1303479746999844864,@treydayway wholesome,2020-09-08 23:46:03,everywhere
2020-12-15  21:46,1303457146944868354,@STALLIMINAJ different is good,2020-09-08 22:16:15,everywhere
2020-12-15  21:46,1303452553141727233,@LizMaupin there's a gap in the market for an account that does this and only this,2020-09-08 21:58:00,everywhere
2020-12-15  21:46,1302671947310923776,"RT @TBrown_80: Follow your heart, kids. https://t.co/1VVoVybWsg",2020-09-06 18:16:09,everywhere
2020-12-15  21:46,1301932802653458435,@simplysnipes model student,2020-09-04 17:19:03,everywhere
2020-12-15  21:46,1301932324456730626,@RmetropolisO obsessed,2020-09-04 17:17:09,everywhere
2020-12-15  21:46,1301931367819882496,@pauzazuetaz cute sticker 😉,2020-09-04 17:13:21,everywhere
2020-12-15  21:46,1301931114521653251,@satwilite thanking you now because it's just that good,2020-09-04 17:12:21,everywhere
2020-12-15  21:46,1301931000587522048,@walker33828 look at that dark mode. gorgeous,2020-09-04 17:11:53,everywhere
